taxon_name_Stace,kew_id,C_num,S_num,R_num,predicted_CSR
Catapodium marinum,395160-1,9.2,37.96,52.84,SR
Catapodium rigidum,395167-1,0.43,60.36,39.21,SR
Celastrus orbiculatus,927512-1,46.72,20.47,32.81,CR/CSR
Centaurea calcitrapa,330052-2,48.83,0.05,51.12,CR
Centaurea jacea,190753-1,44.55,22,33.46,CR/CSR
Centaurea montana,191037-1,56.48,0,43.52,CR
Centaurea nigra,191100-1,31.88,40.12,28,CSR
Centaurea scabiosa,191521-1,59.09,17.75,23.16,C/CSR
Centaurea solstitialis,191626-1,27.77,45.54,26.7,S/CSR
Centaurium erythraea,326619-2,10.89,43.54,45.57,SR/CSR
Centaurium littorale,366670-1,1.1,43.52,55.38,SR
Centaurium pulchellum,366702-1,0,10.15,89.85,R
Centranthus ruber,859275-1,57.28,0,42.72,CR
Cephalanthera damasonium,622369-1,41.16,0,58.84,CR
Cephalanthera longifolia,622389-1,29.26,17.57,53.18,R/CSR
Cerastium alpinum,302288-2,2.34,27.56,70.09,R/SR
Cerastium arvense,329786-2,0,56.54,43.46,SR
Cerastium cerastoides,52333-2,0,43.17,56.83,SR
Cerastium diffusum,152210-1,0,0,100,R
Cerastium fontanum,152255-1,10.64,0,89.36,R
Cerastium glomeratum,152274-1,17.41,0,82.59,R/CR
Cerastium pumilum,152552-1,0,0,100,R
Cerastium semidecandrum,152623-1,0,76.92,23.08,S/SR
Cerastium tomentosum,152715-1,8.66,36.87,54.47,SR
Ceratocapnos claviculata,913782-1,12.98,0,87.02,R
Ceratophyllum demersum,30006047-2,16.4,0,83.6,R/CR
Chaenorhinum minus,801401-1,6.07,0,93.93,R
Chaerophyllum hirsutum,840199-1,74.7,2.73,22.57,C/CR
Chaerophyllum temulum,840275-1,62.23,17.07,20.7,C/CSR
Chelidonium majus,303589-2,53.93,6.52,39.56,CR
Chenopodium album,55993-2,39.17,0,60.83,CR
Chenopodium ficifolium,164928-1,29.4,30.33,40.27,CSR
Chenopodium vulvaria,165311-1,15.82,14.86,69.32,R/CR
Chrysosplenium alternifolium,30303328-2,21.98,0,78.02,R/CR
Chrysosplenium oppositifolium,790635-1,15.74,0,84.26,R
Cicendia filiformis,366948-1,0,33.72,66.28,R/SR
Cichorium intybus,194533-1,61.51,6.61,31.88,C/CR
Cicuta virosa,840414-1,78.45,0,21.55,C/CR
Circaea alpina,58893-2,23.12,6.49,70.39,R/CR
Circaea lutetiana,611469-1,37.29,11.62,51.09,CR/CSR
Cirsium acaule,30076919-2,80.74,0,19.26,C/CR
Cirsium arvense,195034-1,63.96,7.61,28.43,C/CR
Cirsium dissectum,195275-1,60.84,0,39.16,CR
Cirsium eriophorum,195318-1,80.8,7.64,11.56,C
Cirsium heterophyllum,195465-1,69.29,0,30.71,C/CR
