taxon_name_Stace,kew_id,C_num,S_num,R_num,predicted_CSR
Utricularia australis,526603-1,7.56,0,92.44,R
Utricularia vulgaris,527199-1,10.36,0,89.64,R
Vaccaria hispanica,159710-1,53.51,3.33,43.16,CR
Vaccinium corymbosum,261823-2,15.67,58.71,25.63,S/CSR
Vaccinium myrtillus,30006039-2,5.11,65.46,29.43,S/SR
Vaccinium oxycoccos,261956-2,0,92.65,7.35,S
Vaccinium uliginosum,30184367-2,5.52,78.81,15.66,S/SR
Vaccinium vitis-idaea,293975-2,5.95,94.05,0,S
Valeriana dioica,30028947-2,31.83,2.22,65.95,R/CR
Valeriana officinalis,860012-1,47.78,13.13,39.09,CR/CSR
Valerianella carinata,860340-1,13.9,0,86.1,R
Valerianella dentata,860361-1,9.72,34.04,56.24,SR
Valerianella locusta,860409-1,12.41,0,87.59,R
Valerianella rimosa,860470-1,4.99,0,95.01,R
Vallisneria spiralis,431996-1,34.03,0,65.97,R/CR
Verbascum densiflorum,811003-1,75.23,8.61,16.15,C/CR
Verbascum lychnitis,769963-1,77.88,11.75,10.37,C/CS
Verbascum nigrum,770013-1,90.86,0,9.14,C
Verbascum phlomoides,770045-1,54.47,22.21,23.33,C/CSR
Verbascum phoeniceum,770051-1,50.2,20,29.8,C/CSR
Verbascum pulverulentum,770074-1,83.7,2.02,14.28,C
Verbascum speciosum,770141-1,29.17,70.83,0,S/CS
Verbascum thapsus,770183-1,64.57,22.39,13.04,C/CS
Verbascum virgatum,770211-1,81.06,6.37,12.57,C
Verbena officinalis,330554-2,23.43,49.45,27.12,S/CSR
Veronica agrestis,326368-2,8.63,0,91.37,R
Veronica alpina,811595-1,3.31,34.41,62.28,R/SR
Veronica anagallis-aquatica,811610-1,43.52,0,56.48,CR
Veronica arvensis,811649-1,13.5,0,86.5,R
Veronica beccabunga,811680-1,36.13,0,63.87,R/CR
Veronica catenata,264716-2,18.83,0,81.17,R/CR
Veronica chamaedrys,811804-1,35.29,29.49,35.21,CSR
Veronica filiformis,811980-1,3.77,0.69,95.54,R
Veronica fruticans,812007-1,0,60.6,39.4,SR
Veronica hederifolia,812075-1,15.39,0,84.61,R
Veronica longifolia,812239-1,27,41.24,31.77,CSR
Veronica montana,812334-1,16.41,45.56,38.04,SR/CSR
Veronica officinalis,812402-1,6.19,36.14,57.67,SR
Veronica peregrina,812460-1,3.41,0,96.59,R
Veronica persica,30198355-2,22.98,0,77.02,R/CR
Veronica polita,812496-1,9.74,0,90.26,R
Veronica scutellata,812639-1,5.42,25.94,68.64,R/SR
Veronica serpyllifolia,812650-1,16.97,9.86,73.17,R/CR
Veronica spicata,812676-1,9.17,75.83,15.01,S/SR
Veronica triphyllos,812774-1,2.19,0,97.81,R
Viburnum lantana,326265-2,53.31,29.66,17.02,C/CSR
Viburnum opulus,326268-2,34.09,43.79,22.12,CS/CSR
Viburnum sargentii,149915-1,49.37,31.77,18.86,C/CSR
Viburnum tinus,326271-2,30.44,69.56,0,S/CS
Vicia benghalensis,524572-1,45.29,0,54.71,CR
Vicia cracca,30263827-2,17.31,43.18,39.51,SR/CSR
Vicia faba,524737-1,66.44,0,33.56,C/CR
Vicia lathyroides,524865-1,11.19,32.65,56.17,R/CSR
Vicia sativa,525117-1,14.91,46.71,38.37,SR/CSR
Vicia sepium,525130-1,27.76,27.73,44.51,R/CSR
Vicia tenuifolia,525193-1,38.64,14.98,46.38,CR/CSR
Vicia villosa,525259-1,42.28,4.95,52.77,CR
Vinca major,82697-1,40.53,32.82,26.65,CSR
Vinca minor,82701-1,25.07,20.21,54.72,R/CSR
Viola arvensis,291320-2,16.65,10.86,72.5,R/CR
Viola canina,294863-2,15.26,37.92,46.82,SR/CSR
Viola hirta,868309-1,41.68,28.32,30.01,CSR
Viola kitaibeliana,868446-1,3.47,55.93,40.6,SR
Viola lutea,868582-1,13.49,12.7,73.81,R/CR
Viola odorata,868828-1,34.53,23.02,42.44,CR/CSR
Viola palustris,868891-1,32.01,0,67.99,R/CR
Viola reichenbachiana,869090-1,24.69,17.71,57.61,R/CSR
Viola riviniana,869126-1,7,46.45,46.56,SR
Viola rupestris,869158-1,28.87,46.7,24.43,S/CSR
Viola tricolor,869428-1,16.46,0,83.54,R/CR
Viscum album,300881-2,13.63,86.37,0,S
Vitis vinifera,30478388-2,78.01,0.4,21.58,C/CR
Vulpia bromoides,426622-1,1.8,54.88,43.32,SR
Vulpia fasciculata,426640-1,1.01,57.6,41.38,SR
Vulpia myuros,94872-3,0,91.06,8.94,S
Wolffia arrhiza,1044795-2,0,0,100,R
Xanthium strumarium,260893-1,45.21,35.9,18.88,CS/CSR
Zannichellia palustris,603593-1,0.68,0,99.32,R
Zea mays,426810-1,78.31,4.2,17.49,C/CR
